time,geo_value,geo_type,covid,Season,flu,rsv
2024-11-16,West,OH Region,235,2024-2025,6,8
2024-11-09,Central,OH Region,143,2024-2025,4,6
2024-11-09,East,OH Region,191,2024-2025,1,17
2024-11-09,North East,OH Region,53,2024-2025,0,1
2024-11-09,North West,OH Region,23,2024-2025,0,0
2024-11-09,Ontario,Province,780,2024-2025,14,38
2024-11-09,Toronto,OH Region,108,2024-2025,2,8
2024-11-09,West,OH Region,260,2024-2025,5,7
2024-11-02,Central,OH Region,181,2024-2025,7,3
2024-11-02,East,OH Region,191,2024-2025,1,5
2024-11-02,North East,OH Region,72,2024-2025,0,2
2024-11-02,North West,OH Region,15,2024-2025,3,0
2024-11-02,Ontario,Province,850,2024-2025,17,22
2024-11-02,Toronto,OH Region,133,2024-2025,2,7
2024-11-02,West,OH Region,252,2024-2025,5,2
2024-10-26,Central,OH Region,191,2024-2025,5,3
2024-10-26,East,OH Region,164,2024-2025,0,3
2024-10-26,North East,OH Region,70,2024-2025,0,2
2024-10-26,North West,OH Region,11,2024-2025,2,0
2024-10-26,Ontario,Province,867,2024-2025,14,15
2024-10-26,Toronto,OH Region,168,2024-2025,4,4
2024-10-26,West,OH Region,258,2024-2025,0,3
2024-10-19,Central,OH Region,142,2024-2025,4,4
2024-10-19,East,OH Region,158,2024-2025,0,4
2024-10-19,North East,OH Region,59,2024-2025,0,1
2024-10-19,North West,OH Region,19,2024-2025,0,0
2024-10-19,Ontario,Province,771,2024-2025,7,13
2024-10-19,Toronto,OH Region,137,2024-2025,1,3
2024-10-19,West,OH Region,258,2024-2025,1,2
2024-10-12,Central,OH Region,122,2024-2025,0,3
2024-10-12,East,OH Region,171,2024-2025,2,5
2024-10-12,North East,OH Region,48,2024-2025,0,0
2024-10-12,North West,OH Region,21,2024-2025,0,0
2024-10-12,Ontario,Province,757,2024-2025,19,19
2024-10-12,Toronto,OH Region,128,2024-2025,4,3
2024-10-12,West,OH Region,273,2024-2025,13,6
2024-10-05,Central,OH Region,146,2024-2025,2,1
2024-10-05,East,OH Region,170,2024-2025,0,2
2024-10-05,North East,OH Region,58,2024-2025,0,1
2024-10-05,North West,OH Region,17,2024-2025,0,0
2024-10-05,Ontario,Province,794,2024-2025,37,19
2024-10-05,Toronto,OH Region,138,2024-2025,4,2
2024-10-05,West,OH Region,260,2024-2025,31,12
2024-09-28,Central,OH Region,138,2024-2025,2,1
